0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:56 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:56 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:28:57 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:29:13 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:29:13 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:29:44 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:29:44 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:29:47 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:30:34 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:30:35 +0900] "GET /Practice_web/practice_parallax/img/pink_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:30:35 +0900] "GET /Practice_web/practice_parallax/img/whitepaint.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:31:08 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [12/Jan/2018:18:31:24 +0900] "GET /Practice_web/practice_parallax/onepage.html HTTP/1.1" 304 -
